Date,Close/Last,Volume,Open,High,Low
06/18/2020,$81.77,1896880,$81.86,$82.39,$80.98
06/17/2020,$82.25,1888310,$82.25,$82.75,$80.91
06/16/2020,$81.60,3505710,$83.52,$84.015,$81.19
06/15/2020,$81.76,3116209,$80.16,$82.17,$79.70
06/12/2020,$81.80,2389442,$83.00,$83.03,$80.62
06/11/2020,$81.76,3910106,$84.08,$84.35,$81.00
06/10/2020,$85.37,2059876,$85.83,$86.901,$85.295
06/09/2020,$85.91,2041674,$87.31,$87.35,$84.82
06/08/2020,$87.91,2179617,$85.43,$88.115,$85.02
06/05/2020,$85.51,2670668,$84.99,$87.10,$84.72
06/04/2020,$84.40,2252927,$86.39,$86.54,$83.38
06/03/2020,$86.99,1868138,$86.31,$87.96,$86.12
06/02/2020,$85.98,1672260,$86.81,$86.84,$85.26
06/01/2020,$86.14,1711481,$85.08,$86.4636,$84.86
05/29/2020,$85.25,3445384,$84.99,$85.85,$84.31
05/28/2020,$85.10,3752108,$82.62,$85.62,$82.62
05/27/2020,$81.44,3547610,$81.04,$81.49,$80.272
05/26/2020,$79.92,2952494,$79.50,$80.78,$79.31
05/22/2020,$78.78,2186396,$77.39,$78.84,$77.35
05/21/2020,$77.37,2108573,$77.59,$77.82,$76.89
05/20/2020,$77.75,2160328,$78.08,$78.561,$77.18
05/19/2020,$77.14,2781092,$79.29,$79.37,$77.13
05/18/2020,$79.88,3470451,$79.28,$80.7033,$79.19
05/15/2020,$78.43,8018103,$77.50,$78.46,$76.66
05/14/2020,$78.10,3766874,$77.29,$78.70,$76.2335
05/13/2020,$77.73,3673661,$77.49,$77.85,$76.71
05/12/2020,$77.91,3699136,$79.50,$79.718,$77.51
05/11/2020,$79.17,2496943,$79.35,$79.94,$78.01
05/08/2020,$79.86,2409219,$79.16,$80.42,$79.00
05/07/2020,$78.60,3833455,$78.82,$80.6607,$78.27
05/06/2020,$78.82,5099996,$84.26,$84.325,$78.45
05/05/2020,$83.31,2982909,$82.64,$84.64,$82.01
05/04/2020,$83.05,2419303,$81.19,$83.265,$80.46
05/01/2020,$81.39,2742181,$82.39,$82.655,$81.05
04/30/2020,$83.11,3253592,$83.10,$83.58,$81.87
04/29/2020,$83.13,3387558,$85.75,$85.80,$82.87
04/28/2020,$84.63,2129704,$84.72,$86.565,$84.20
04/27/2020,$83.62,1956191,$83.78,$84.3872,$83.47
04/24/2020,$83.23,2828707,$82.77,$83.617,$82.5936
04/23/2020,$83.02,2426428,$84.82,$85.19,$82.86
04/22/2020,$85.00,2512409,$83.55,$85.67,$83.07
04/21/2020,$82.47,3013863,$81.77,$82.84,$80.91
04/20/2020,$82.91,2331365,$87.32,$87.32,$82.83
04/17/2020,$86.38,2323513,$85.45,$86.97,$84.58
04/16/2020,$84.05,1802895,$84.30,$84.70,$82.78
04/15/2020,$83.61,2558973,$85.08,$85.50,$83.29
04/14/2020,$86.25,2187772,$85.53,$86.38,$84.65
04/13/2020,$83.50,2076667,$85.64,$86.60,$82.56
04/09/2020,$86.31,4003717,$83.99,$88.29,$83.99
04/08/2020,$83.30,2912851,$79.26,$83.87,$79.00
04/07/2020,$78.75,4037569,$80.68,$81.16,$77.94
04/06/2020,$78.59,3610275,$74.87,$79.78,$74.59
04/03/2020,$72.50,3964095,$75.83,$76.72,$71.20
04/02/2020,$76.79,4959867,$73.63,$77.58,$72.39
04/01/2020,$74.57,3570112,$77.45,$78.91,$73.815
03/31/2020,$79.98,6250250,$82.68,$83.49,$79.24
03/30/2020,$83.71,5390573,$84.87,$86.45,$79.83
03/27/2020,$83.40,3255255,$79.79,$86.59,$79.1308
03/26/2020,$81.80,3903506,$73.48,$82.88,$73.25
03/25/2020,$73.29,5448598,$71.38,$76.31,$69.35
03/24/2020,$72.05,4937521,$71.66,$73.78,$68.09
03/23/2020,$70.00,5499756,$71.02,$71.84,$65.135
03/20/2020,$71.45,5611003,$80.95,$81.10,$70.26
03/19/2020,$80.81,4741652,$88.00,$88.06,$79.57
03/18/2020,$88.28,5517910,$85.02,$92.855,$81.01
03/17/2020,$91.20,6641778,$83.64,$95.77,$83.49
03/16/2020,$81.66,5564629,$78.57,$86.18,$77.76
03/13/2020,$86.47,5127501,$86.43,$87.15,$81.71
03/12/2020,$82.54,7534018,$83.00,$85.97,$73.53
03/11/2020,$89.72,4213666,$92.91,$92.96,$88.04
03/10/2020,$94.72,5729024,$98.32,$98.33,$91.23
03/09/2020,$94.96,6660614,$92.81,$99.39,$92.52
03/06/2020,$97.70,5815534,$95.90,$97.72,$93.85
03/05/2020,$98.79,5285655,$98.37,$100.18,$97.72
03/04/2020,$99.82,4027236,$96.37,$100.65,$96.37
03/03/2020,$95.45,6823018,$95.00,$97.8025,$94.05
03/02/2020,$95.09,4936258,$89.55,$95.3063,$89.335
