Date,Close/Last,Volume,Open,High,Low
06/15/2021,$411.20,27193,$417.70,$417.70,$409.10
06/14/2021,$413.51,67275,$432.28,$432.28,$406.20
06/11/2021,$432.23,43760,$433.63,$436.45,$425.00
06/10/2021,$436.45,52695,$441.88,$442.45,$427.5501
06/09/2021,$444.00,31218,$448.51,$449.6551,$441.13
06/08/2021,$450.96,55172,$451.85,$460.00,$438.45
06/07/2021,$448.06,40682,$429.27,$448.06,$429.27
06/04/2021,$429.23,36015,$438.64,$438.64,$425.58
06/03/2021,$432.63,32423,$413.76,$432.85,$411.64
06/02/2021,$417.80,33350,$416.37,$421.94,$410.84
06/01/2021,$418.51,45919,$405.00,$421.28,$400.85
05/28/2021,$404.92,42873,$406.31,$409.00,$393.8405
05/27/2021,$401.63,46765,$393.49,$407.80,$393.49
05/26/2021,$391.94,47673,$385.66,$393.5074,$375.848
05/25/2021,$382.24,58905,$368.00,$388.38,$368.00
05/24/2021,$367.40,35219,$356.00,$368.54,$351.18
05/21/2021,$353.51,30693,$354.76,$360.84,$350.10
05/20/2021,$352.91,24475,$344.57,$352.91,$340.88
05/19/2021,$342.61,30843,$334.14,$342.91,$333.1863
05/18/2021,$335.20,31473,$336.34,$340.73,$332.304
05/17/2021,$336.19,39750,$332.84,$343.00,$325.0001
05/14/2021,$330.66,32165,$330.00,$334.95,$323.64
05/13/2021,$327.76,48244,$314.43,$330.93,$314.00
05/12/2021,$310.40,44614,$295.36,$312.8568,$292.32
05/11/2021,$292.35,27523,$288.15,$296.21,$288.15
05/10/2021,$290.59,23377,$289.34,$293.14,$288.5815
05/07/2021,$288.05,21368,$287.19,$289.25,$282.905
05/06/2021,$287.69,17809,$288.00,$289.4659,$285.78
05/05/2021,$286.11,21426,$289.91,$291.13,$281.01
05/04/2021,$288.40,28886,$297.70,$301.30,$287.00
05/03/2021,$297.71,32620,$296.48,$300.94,$293.96
04/30/2021,$293.25,25783,$297.78,$299.3521,$291.30
04/29/2021,$297.79,16171,$300.25,$303.10,$297.66
04/28/2021,$297.14,14867,$303.04,$305.23,$297.14
04/27/2021,$303.81,30007,$310.23,$311.85,$301.17
04/26/2021,$310.22,31126,$313.264,$317.53,$310.22
04/23/2021,$315.01,17958,$314.00,$317.26,$312.00
04/22/2021,$314.51,18041,$315.50,$316.00,$311.88
04/21/2021,$312.97,28832,$308.71,$314.91,$308.71
04/20/2021,$306.74,31654,$311.00,$318.37,$304.11
04/19/2021,$311.32,30257,$307.87,$312.00,$303.72
04/16/2021,$306.80,19228,$303.77,$307.24,$302.15
04/15/2021,$302.74,10018,$301.78,$302.75,$300.00
04/14/2021,$299.90,12400,$298.23,$301.97,$298.23
04/13/2021,$298.23,23176,$301.65,$302.22,$297.14
04/12/2021,$300.33,31762,$300.60,$303.01,$296.05
04/09/2021,$303.15,26748,$300.47,$303.7399,$298.365
04/08/2021,$300.00,24734,$296.23,$300.575,$291.03
04/07/2021,$295.80,19019,$297.43,$299.02,$293.6301
04/06/2021,$296.36,21407,$297.62,$301.77,$296.1389
04/05/2021,$295.19,29957,$288.15,$298.8699,$288.00
04/01/2021,$289.17,22784,$287.78,$289.94,$286.945
03/31/2021,$288.78,34122,$294.35,$297.74,$288.59
03/30/2021,$295.22,20336,$301.06,$301.84,$293.55
03/29/2021,$302.70,25053,$298.00,$303.28,$297.56
03/26/2021,$297.56,14624,$292.56,$298.03,$290.00
03/25/2021,$289.91,31005,$280.00,$293.6699,$277.8431
03/24/2021,$282.36,27427,$292.55,$292.55,$281.86
03/23/2021,$289.76,26240,$296.74,$296.74,$288.72
03/22/2021,$296.73,18405,$301.74,$304.08,$294.93
03/19/2021,$301.03,70404,$301.78,$304.92,$297.31
03/18/2021,$303.97,30699,$309.00,$309.00,$298.08
03/17/2021,$309.20,31178,$302.40,$310.99,$302.40
03/16/2021,$305.59,21027,$301.01,$306.46,$298.0698
03/15/2021,$302.64,28668,$295.00,$302.64,$294.01
03/12/2021,$295.16,29637,$289.06,$296.41,$287.87
03/11/2021,$288.98,19635,$282.07,$288.98,$279.9562
03/10/2021,$281.76,22177,$282.57,$284.02,$280.05
03/09/2021,$282.57,34226,$281.19,$284.50,$279.89
03/08/2021,$278.52,28660,$272.99,$282.05,$272.99
